id,source_folder,source_relative_path,remote_path,web_path,file_name,display_name,extension,size_bytes,mtime
13,东北证券,东北证券/20190626-东北证券-多因子系列报告：指数增强视角下的因子检验、合成与组合优化.pdf,/mnt/research/研报/东北证券/20190626-东北证券-多因子系列报告：指数增强视角下的因子检验、合成与组合优化.pdf,reports/东北证券/20190626-东北证券-多因子系列报告：指数增强视角下的因子检验、合成与组合优化.pdf,20190626-东北证券-多因子系列报告：指数增强视角下的因子检验、合成与组合优化.pdf,20190626-东北证券-多因子系列报告：指数增强视角下的因子检验、合成与组合优化,pdf,4112756,2026-04-11T17:14:58.739789+00:00
14,东北证券,东北证券/20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨.pdf,/mnt/research/研报/东北证券/20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨.pdf,reports/东北证券/20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨.pdf,20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨.pdf,20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨,pdf,5219923,2026-04-11T17:14:50.860790+00:00
15,东北证券,东北证券/20230227-东北证券-因子选股系列之四：高频数据下的已实现高阶矩因子及改进.pdf,/mnt/research/研报/东北证券/20230227-东北证券-因子选股系列之四：高频数据下的已实现高阶矩因子及改进.pdf,reports/东北证券/20230227-东北证券-因子选股系列之四：高频数据下的已实现高阶矩因子及改进.pdf,20230227-东北证券-因子选股系列之四：高频数据下的已实现高阶矩因子及改进.pdf,20230227-东北证券-因子选股系列之四：高频数据下的已实现高阶矩因子及改进,pdf,1223546,2026-04-11T17:14:40.841791+00:00
16,东北证券,东北证券/20230601-东北证券-因子选股系列之五：基于高频数据的风险不确定性因子.pdf,/mnt/research/研报/东北证券/20230601-东北证券-因子选股系列之五：基于高频数据的风险不确定性因子.pdf,reports/东北证券/20230601-东北证券-因子选股系列之五：基于高频数据的风险不确定性因子.pdf,20230601-东北证券-因子选股系列之五：基于高频数据的风险不确定性因子.pdf,20230601-东北证券-因子选股系列之五：基于高频数据的风险不确定性因子,pdf,3598652,2026-04-11T17:14:38.366791+00:00
17,东北证券,东北证券/20240222-东北证券-基于营业利润计算过程的财务质量研究.pdf,/mnt/research/研报/东北证券/20240222-东北证券-基于营业利润计算过程的财务质量研究.pdf,reports/东北证券/20240222-东北证券-基于营业利润计算过程的财务质量研究.pdf,20240222-东北证券-基于营业利润计算过程的财务质量研究.pdf,20240222-东北证券-基于营业利润计算过程的财务质量研究,pdf,12416673,2026-04-11T17:14:30.898791+00:00
18,东北证券,东北证券/20240311-东北证券-因子选股系列之八：股票收益的协偏度因子.pdf,/mnt/research/研报/东北证券/20240311-东北证券-因子选股系列之八：股票收益的协偏度因子.pdf,reports/东北证券/20240311-东北证券-因子选股系列之八：股票收益的协偏度因子.pdf,20240311-东北证券-因子选股系列之八：股票收益的协偏度因子.pdf,20240311-东北证券-因子选股系列之八：股票收益的协偏度因子,pdf,2746731,2026-04-11T17:14:05.185793+00:00
19,东吴证券,东吴证券/20180222-东吴证券-因子方法论之一：基于日内模式的因子改进~以流动性因子为例.pdf,/mnt/research/研报/东吴证券/20180222-东吴证券-因子方法论之一：基于日内模式的因子改进~以流动性因子为例.pdf,reports/东吴证券/20180222-东吴证券-因子方法论之一：基于日内模式的因子改进~以流动性因子为例.pdf,20180222-东吴证券-因子方法论之一：基于日内模式的因子改进~以流动性因子为例.pdf,20180222-东吴证券-因子方法论之一：基于日内模式的因子改进~以流动性因子为例,pdf,1128420,2026-04-11T17:13:58.478794+00:00
20,东吴证券,东吴证券/20180517-东吴证券-因子方法论之二：协方差矩阵的估计和应用~以风险模型和最优化复合因子权重为例.pdf,/mnt/research/研报/东吴证券/20180517-东吴证券-因子方法论之二：协方差矩阵的估计和应用~以风险模型和最优化复合因子权重为例.pdf,reports/东吴证券/20180517-东吴证券-因子方法论之二：协方差矩阵的估计和应用~以风险模型和最优化复合因子权重为例.pdf,20180517-东吴证券-因子方法论之二：协方差矩阵的估计和应用~以风险模型和最优化复合因子权重为例.pdf,20180517-东吴证券-因子方法论之二：协方差矩阵的估计和应用~以风险模型和最优化复合因子权重为例,pdf,2338961,2026-04-11T17:13:55.584794+00:00
21,东吴证券,东吴证券/20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf,/mnt/research/研报/东吴证券/20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf,reports/东吴证券/20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf,20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf,20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构,pdf,1359706,2026-04-11T17:13:49.579794+00:00
22,东吴证券,东吴证券/20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归.pdf,/mnt/research/研报/东吴证券/20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归.pdf,reports/东吴证券/20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归.pdf,20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归.pdf,20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归,pdf,2969509,2026-04-11T17:13:46.227794+00:00
23,东吴证券,东吴证券/20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,/mnt/research/研报/东吴证券/20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,reports/东吴证券/20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子,pdf,1882258,2026-04-11T17:13:38.631795+00:00
24,东吴证券,东吴证券/20210301-东吴证券-“技术分析拥抱选股因子”系列研究（四）：换手率分布均匀度，基于分钟成交量的选股因子.pdf,/mnt/research/研报/东吴证券/20210301-东吴证券-“技术分析拥抱选股因子”系列研究（四）：换手率分布均匀度，基于分钟成交量的选股因子.pdf,reports/东吴证券/20210301-东吴证券-“技术分析拥抱选股因子”系列研究（四）：换手率分布均匀度，基于分钟成交量的选股因子.pdf,20210301-东吴证券-“技术分析拥抱选股因子”系列研究（四）：换手率分布均匀度，基于分钟成交量的选股因子.pdf,20210301-东吴证券-“技术分析拥抱选股因子”系列研究（四）：换手率分布均匀度，基于分钟成交量的选股因子,pdf,1351507,2026-04-11T17:13:34.479795+00:00
25,东吴证券,东吴证券/20210515-东吴证券-“技术分析系拥抱选股因子”系列研究（七）：量稳换手率选股因子，量小、量缩，都不如量稳？.pdf,/mnt/research/研报/东吴证券/20210515-东吴证券-“技术分析系拥抱选股因子”系列研究（七）：量稳换手率选股因子，量小、量缩，都不如量稳？.pdf,reports/东吴证券/20210515-东吴证券-“技术分析系拥抱选股因子”系列研究（七）：量稳换手率选股因子，量小、量缩，都不如量稳？.pdf,20210515-东吴证券-“技术分析系拥抱选股因子”系列研究（七）：量稳换手率选股因子，量小、量缩，都不如量稳？.pdf,20210515-东吴证券-“技术分析系拥抱选股因子”系列研究（七）：量稳换手率选股因子，量小、量缩，都不如量稳？,pdf,1861995,2026-04-11T17:13:31.316795+00:00
26,东吴证券,东吴证券/20210817-东吴证券-“求索动量因子”系列研究（三）：交易者结构对动量因子的改进Q&A.pdf,/mnt/research/研报/东吴证券/20210817-东吴证券-“求索动量因子”系列研究（三）：交易者结构对动量因子的改进Q&A.pdf,reports/东吴证券/20210817-东吴证券-“求索动量因子”系列研究（三）：交易者结构对动量因子的改进Q&A.pdf,20210817-东吴证券-“求索动量因子”系列研究（三）：交易者结构对动量因子的改进Q&A.pdf,20210817-东吴证券-“求索动量因子”系列研究（三）：交易者结构对动量因子的改进Q&A,pdf,1537154,2026-04-11T17:13:26.826796+00:00
27,东吴证券,东吴证券/20210819-东吴证券-_“技术分析拥抱选股因子”系列研究（八）：优加换手率，解决1+1＜2的难题_.pdf,/mnt/research/研报/东吴证券/20210819-东吴证券-_“技术分析拥抱选股因子”系列研究（八）：优加换手率，解决1+1＜2的难题_.pdf,reports/东吴证券/20210819-东吴证券-_“技术分析拥抱选股因子”系列研究（八）：优加换手率，解决1+1＜2的难题_.pdf,20210819-东吴证券-_“技术分析拥抱选股因子”系列研究（八）：优加换手率，解决1+1＜2的难题_.pdf,20210819-东吴证券-_“技术分析拥抱选股因子”系列研究（八）：优加换手率，解决1+1＜2的难题_,pdf,1878595,2026-04-11T17:13:22.858796+00:00
28,东吴证券,东吴证券/20210819-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,/mnt/research/研报/东吴证券/20210819-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,reports/东吴证券/20210819-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,20210819-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,20210819-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转,pdf,1598455,2026-04-11T17:13:18.177796+00:00
29,东吴证券,东吴证券/20211207-东吴证券-“技术分析拥抱选股因子”系列研究（九）：改进STR，换手率要比别人稳，也要比自己稳.pdf,/mnt/research/研报/东吴证券/20211207-东吴证券-“技术分析拥抱选股因子”系列研究（九）：改进STR，换手率要比别人稳，也要比自己稳.pdf,reports/东吴证券/20211207-东吴证券-“技术分析拥抱选股因子”系列研究（九）：改进STR，换手率要比别人稳，也要比自己稳.pdf,20211207-东吴证券-“技术分析拥抱选股因子”系列研究（九）：改进STR，换手率要比别人稳，也要比自己稳.pdf,20211207-东吴证券-“技术分析拥抱选股因子”系列研究（九）：改进STR，换手率要比别人稳，也要比自己稳,pdf,1519768,2026-04-11T17:13:14.466796+00:00
30,东吴证券,东吴证券/20220512-东吴证券-金工定期报告：“纯真波动率”选股因子绩效月报.pdf,/mnt/research/研报/东吴证券/20220512-东吴证券-金工定期报告：“纯真波动率”选股因子绩效月报.pdf,reports/东吴证券/20220512-东吴证券-金工定期报告：“纯真波动率”选股因子绩效月报.pdf,20220512-东吴证券-金工定期报告：“纯真波动率”选股因子绩效月报.pdf,20220512-东吴证券-金工定期报告：“纯真波动率”选股因子绩效月报,pdf,552917,2026-04-11T17:13:10.622797+00:00
